839.467	 20	 197	 
897.989	 20	 199	 
865.529	 20	 198	 
800.115	 22	 187	 
793.388	 22	 183	 
796.838	 22	 187	 
859.799	 22	 182	 
854.504	 21	 189	 
812.279	 21	 189	 
858.244	 21	 193	 
815.178	 20	 193	 
815.505	 22	 184	 
818.101	 22	 182	 
803.272	 20	 197	 
878.144	 21	 193	 
1036.414	 20	 196	 
1036.883	 20	 194	 
940.642	 21	 192	 
889.840	 21	 191	 
858.625	 23	 182	 
838.043	 22	 189	 
810.652	 22	 185	 
793.966	 22	 178	 
885.897	 20	 196	 
975.375	 20	 196	 
1010.488	 20	 196	 
1014.821	 20	 194	 
1059.935	 20	 196	 
976.472	 20	 197	 
969.472	 20	 196	 
992.707	 21	 194	 
901.634	 22	 187	 
779.098	 21	 191	 
812.774	 20	 198	 
817.014	 21	 199	 
779.426	 21	 199	 
888.522	 20	 196	 
860.460	 20	 198	 
890.357	 20	 197	 
888.115	 21	 193	 
884.927	 21	 194	 
851.772	 20	 198	 
893.354	 20	 199	 
848.919	 20	 199	 
806.272	 23	 180	 
785.098	 22	 184	 
804.923	 22	 183	 
829.786	 21	 193	 
928.064	 21	 196	 
945.913	 20	 198	 
893.254	 21	 193	 
921.080	 21	 192	 
929.939	 21	 190	 
870.403	 22	 185	 
838.184	 22	 179	 
813.772	 22	 176	 
789.090	 22	 174	 
723.818	 23	 177	 
801.718	 21	 199	 
823.232	 21	 199	 
746.819	 20	 199	 
733.030	 20	 199	 
844.533	 21	 199	 
900.136	 20	 199	 
853.160	 21	 199	 
764.749	 23	 173	 
859.069	 23	 172	 
917.773	 23	 173	 
936.846	 23	 174	 
971.936	 23	 173	 
964.290	 23	 174	 
917.396	 23	 173	 
901.430	 22	 173	 
958.073	 22	 177	 
966.827	 23	 178	 
986.356	 23	 179	 
960.186	 22	 177	 
901.181	 22	 180	 
926.797	 22	 180	 
863.456	 21	 199	 
880.911	 22	 190	 
955.175	 22	 185	 
975.983	 22	 183	 
1015.067	 22	 183	 
1068.685	 22	 184	 
971.714	 22	 185	 
871.112	 21	 199	 
863.565	 21	 199	 
898.320	 22	 176	 
957.144	 22	 177	 
962.026	 22	 177	 
913.653	 22	 186	 
1012.356	 21	 188	 
1079.715	 21	 189	 
1083.486	 21	 190	 
1058.439	 21	 187	 
1032.968	 23	 180	 
1054.653	 22	 183	 
1013.445	 21	 188	 
998.268	 20	 193	 
1052.039	 21	 192	 
1111.516	 21	 192	 
1085.668	 22	 186	 
1016.014	 22	 185	 
1007.956	 21	 193	 
1096.726	 21	 190	 
1052.477	 22	 187	 
1038.475	 20	 196	 
1099.075	 20	 194	 
1115.026	 20	 194	 
998.868	 22	 169	 
1019.431	 22	 168	 
979.401	 22	 169	 
977.399	 22	 172	 
1027.513	 21	 196	 
1087.557	 21	 193	 
903.653	 21	 190	 
900.509	 23	 165	 
931.974	 20	 199	 
946.432	 22	 165	 
979.499	 23	 168	 
1058.695	 22	 172	 
1081.157	 22	 165	 
